rssid,url,error_message
1927,https://alzawraapaper.comcontent.php/?id=379508,"Article `download()` failed with HTTPSConnectionPool(host='alzawraapaper.comcontent.php', port=443): Max retries exceeded with url: /?id=379508 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x7ba47c76e930>: Failed to resolve 'alzawraapaper.comcontent.php' ([Errno -2] Name or service not known)"")) on URL https://alzawraapaper.comcontent.php/?id=379508"
7274,https://www.reuters.com/world/americas/canada-appoints-new-envoy-india-sign-improving-ties-2025-08-28/,Article `download()` failed with 401 Client Error: HTTP Forbidden for url: https://www.reuters.com/world/americas/canada-appoints-new-envoy-india-sign-improving-ties-2025-08-28/ on URL https://www.reuters.com/world/americas/canada-appoints-new-envoy-india-sign-improving-ties-2025-08-28/
5571,https://www.ammonnews.net/article/944417,Article `download()` failed with 403 Client Error: Forbidden for url: https://www.ammonnews.net/article/944417 on URL https://www.ammonnews.net/article/944417
3207,https://www.facebook.com/sharer.php?u=https://hathalyoum.net/3859602,Article `download()` failed with 400 Client Error: Bad Request for url: https://www.facebook.com/sharer.php?u=https://hathalyoum.net/3859602 on URL https://www.facebook.com/sharer.php?u=https://hathalyoum.net/3859602
2977,https://www.al-madina.com/article/948845/%D9%85%D9%86%D8%AA%D8%AF%D9%89/%D8%B9%D9%85%D9%84-%D8%A8%D8%B7%D9%88%D9%84%D9%8A-%D9%8A%D8%AC%D8%B3%D8%AF-%D8%A7%D9%84%D8%B4%D9%87%D8%A7%D9%85%D8%A9-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9,Article `download()` failed with 403 Client Error: Forbidden for url: https://www.al-madina.com/article/948845/%D9%85%D9%86%D8%AA%D8%AF%D9%89/%D8%B9%D9%85%D9%84-%D8%A8%D8%B7%D9%88%D9%84%D9%8A-%D9%8A%D8%AC%D8%B3%D8%AF-%D8%A7%D9%84%D8%B4%D9%87%D8%A7%D9%85%D8%A9-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9 on URL https://www.al-madina.com/article/948845/%D9%85%D9%86%D8%AA%D8%AF%D9%89/%D8%B9%D9%85%D9%84-%D8%A8%D8%B7%D9%88%D9%84%D9%8A-%D9%8A%D8%AC%D8%B3%D8%AF-%D8%A7%D9%84%D8%B4%D9%87%D8%A7%D9%85%D8%A9-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9
1164,https://dnyuz.com/2025/08/28/trump-is-claiming-mortgage-fraud-to-attack-enemies-is-your-information-public/,Article `download()` failed with 403 Client Error: Forbidden for url: https://dnyuz.com/2025/08/28/trump-is-claiming-mortgage-fraud-to-attack-enemies-is-your-information-public/ on URL https://dnyuz.com/2025/08/28/trump-is-claiming-mortgage-fraud-to-attack-enemies-is-your-information-public/
7274,https://www.reuters.com/world/europe/italys-foreign-minister-sees-no-end-ukraine-war-this-year-2025-08-28/,Article `download()` failed with 401 Client Error: HTTP Forbidden for url: https://www.reuters.com/world/europe/italys-foreign-minister-sees-no-end-ukraine-war-this-year-2025-08-28/ on URL https://www.reuters.com/world/europe/italys-foreign-minister-sees-no-end-ukraine-war-this-year-2025-08-28/
9784,https://omannews.gov.om/topics/ar/5/show/455751,"Article `download()` failed with HTTPSConnectionPool(host='omannews.gov.om', port=443): Max retries exceeded with url: /topics/ar/5/show/455751 (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)'))) on URL https://omannews.gov.om/topics/ar/5/show/455751"
1165,https://dnyuz.com/2025/08/28/fed-governor-lisa-cook-sues-trump-over-dismissal/,Article `download()` failed with 403 Client Error: Forbidden for url: https://dnyuz.com/2025/08/28/fed-governor-lisa-cook-sues-trump-over-dismissal/ on URL https://dnyuz.com/2025/08/28/fed-governor-lisa-cook-sues-trump-over-dismissal/
11614,https://www.gulftoday.ae/news/2025/08/25/uae-schools-welcome-a-million-students-warmly-on-first-day,Article `download()` failed with 403 Client Error: Forbidden for url: https://www.gulftoday.ae/news/2025/08/25/uae-schools-welcome-a-million-students-warmly-on-first-day on URL https://www.gulftoday.ae/news/2025/08/25/uae-schools-welcome-a-million-students-warmly-on-first-day
